STT,Route name,Site1,Site2,Site3,NumberError
126,RN333159333167,333159,333167,,90
127,RN333168333171,333168,333171,,45
128,RN333173333179,333173,333179,,56
129,RN333181333183333186,333181,333183,333186,41
130,RN333190333191333188,333190,333191,333188,24
131,RN333193333195,333193,333195,,53
132,RN333196333197,333196,333197,,51
133,RN333198333201,333198,333201,,37
134,RN333203333205,333203,333205,,17
135,RN333210333211,333210,333211,,20
136,RN333213333216,333213,333216,,33
137,RN333223333230,333223,333230,,97
138,RN333231333236,333231,333236,,81
139,RN333237333245,333237,333245,,55
140,RN333248333250,333248,333250,,17
141,RN333252333254,333252,333254,,90
142,RN333257333258,333257,333258,,19
143,RN333261333264,333261,333264,,58
144,RN333268333269,333268,333269,,10
145,RN333275105001,333275,105001,,79
146,RN105002105003,105002,105003,,72
147,RN105004105005,105004,105005,,24
148,RN105006105007,105006,105007,,30
149,RN105008105009,105008,105009,,33
150,RN105010105011,105010,105011,,80
151,RN105012105013,105012,105013,,7
152,RN105014105015,105014,105015,,23
153,RN105016105017,105016,105017,,71
154,RN105018105019,105018,105019,,28
155,RN105020105021,105020,105021,,68
156,RN105022105023,105022,105023,,67
157,RN105024105026,105024,105026,,98
158,RN105027105029,105027,105029,,32
159,RN105031105032,105031,105032,,43
160,RN105033105034,105033,105034,,5
161,RN105035105036,105035,105036,,77
162,RN105037105038,105037,105038,,72
163,RN105039105040,105039,105040,,75
164,RN105041105042,105041,105042,,52
165,RN105043105044,105043,105044,,11
166,RN105045105046,105045,105046,,94
167,RN105050105051,105050,105051,,37
168,RN105052105053,105052,105053,,69
169,RN105055105056,105055,105056,,4
170,RN105058105059,105058,105059,,16
171,RN105061105062,105061,105062,,25
172,RN105063105081,105063,105081,,26
173,RN105082105083,105082,105083,,5
174,RN105084105085,105084,105085,,80
175,RN105086105087,105086,105087,,91
176,RN105088105089,105088,105089,,58
177,RN105090105091,105090,105091,,38
178,RN105093105094,105093,105094,,34
179,RN105095105096,105095,105096,,21
180,RN105097105098,105097,105098,,82
181,RN105099105100,105099,105100,,47
182,RN105101105102,105101,105102,,42
183,RN105103105104,105103,105104,,49
184,RN105105105106,105105,105106,,64
185,RN105107105108,105107,105108,,30
186,RN105109105110,105109,105110,,12
187,RN105111105124,105111,105124,,73
188,RN105125105126,105125,105126,,74
189,RN105127105129,105127,105129,,16
190,RN105131105134,105131,105134,,51
191,RN105136105137,105136,105137,,23
192,RN105139105140,105139,105140,,32
193,RN105141105142,105141,105142,,59
194,RN105143105144,105143,105144,,96
195,RN105145105150,105145,105150,,92
196,RN106018105060,106018,105060,,81
197,RN106001106002,106001,106002,,18
198,RN106003106004,106003,106004,,40
199,RN106005106006,106005,106006,,9
200,RN106007106008,106007,106008,,29
201,RN106009106010,106009,106010,,77
202,RN106011106012,106011,106012,,74
203,RN106013106015,106013,106015,,99
204,RN106016106017,106016,106017,,25
205,RN106020106021,106020,106021,,8
206,RN106022106023,106022,106023,,5
207,RN106024106025,106024,106025,,90
208,RN106026106027,106026,106027,,54
209,RN106028106029,106028,106029,,28
210,RN106030106031,106030,106031,,7
211,RN106032106033,106032,106033,,77
212,RN106034106035,106034,106035,,37
213,RN106036106037,106036,106037,,68
214,RN106039106040,106039,106040,,59
215,RN106041106042,106041,106042,,86
216,RN106043106044,106043,106044,,12
217,RN106045106046,106045,106046,,37
218,RN106047106048,106047,106048,,68
219,RN106049106050,106049,106050,,74
220,RN106062106501106502,106062,106501,106502,53
221,RN106508106511106503,106508,106511,106503,39
222,RN106517106519,106517,106519,,44
223,RN106520106521,106520,106521,,84
224,RN106522106523,106522,106523,,85
225,RN106525106526,106525,106526,,3
226,RN106529106531,106529,106531,,51
227,RN106533106534,106533,106534,,68
228,RN106545106546,106545,106546,,34
229,RN124058106509,124058,106509,,63
230,RN106524106550,106524,106550,,2
231,RN105155106019,105155,106019,,16
232,RN106055106056,106055,106056,,46
233,RN106555105200,106555,105200,,5
234,RN105160105048,105160,105048,,77
235,RN303001303002,303001,303002,,99
236,RN303003303004,303003,303004,,69
237,RN303005303006,303005,303006,,1
238,RN303007303008,303007,303008,,14
239,RN303009303010,303009,303010,,45
240,RN303011303012,303011,303012,,61
241,RN303013303014,303013,303014,,7
242,RN303015303016,303015,303016,,59
243,RN303017303018,303017,303018,,19
244,RN303019303020,303019,303020,,70
245,RN303021303022,303021,303022,,52
246,RN303023303024,303023,303024,,87
247,RN303025303026,303025,303026,,5
248,RN303027303028,303027,303028,,84
249,RN303029303030,303029,303030,,63
250,RN303031303032,303031,303032,,28
251,RN303033303034,303033,303034,,91
252,RN303036303038,303036,303038,,52
253,RN303039303040,303039,303040,,35
254,RN303041303047,303041,303047,,99
255,RN303055303066,303055,303066,,94
256,RN303070303095,303070,303095,,72
257,RN303136312002,303136,312002,,7
258,RN312003312004,312003,312004,,81
259,RN312005312006,312005,312006,,33
260,RN312007312008,312007,312008,,24
261,RN312009312010,312009,312010,,57
262,RN312011312012,312011,312012,,76
263,RN312013312014,312013,312014,,20
264,RN312015312016,312015,312016,,45
265,RN312017312018,312017,312018,,91
266,RN312019312020,312019,312020,,14
267,RN312021312022,312021,312022,,67
268,RN312023312024,312023,312024,,75
269,RN312025312026,312025,312026,,91
270,RN312027312028,312027,312028,,17
271,RN312030312031,312030,312031,,63
272,RN312032312033,312032,312033,,98
273,RN312034312035,312034,312035,,74
274,RN312036312037,312036,312037,,68
275,RN312038312039,312038,312039,,10
276,RN312040312041,312040,312041,,1
277,RN312042312044,312042,312044,,26
278,RN312045312046,312045,312046,,90
279,RN312047312048,312047,312048,,56
280,RN312049312050,312049,312050,,84
281,RN312051312052,312051,312052,,29
282,RN312053312054,312053,312054,,65
283,RN312055312056,312055,312056,,57
284,RN312057312067,312057,312067,,99
285,RN312074312084,312074,312084,,74
286,RN312101314001,312101,314001,,86
287,RN314002314003,314002,314003,,55
288,RN314004314005,314004,314005,,40
289,RN314006314007,314006,314007,,73
290,RN314008314009,314008,314009,,33
291,RN314010314011,314010,314011,,80
292,RN314012314013,314012,314013,,54
293,RN314014314015,314014,314015,,88
294,RN314016314017,314016,314017,,54
295,RN314018314019,314018,314019,,95
296,RN314020314021,314020,314021,,62
297,RN314022314023,314022,314023,,8
298,RN314024314025,314024,314025,,99
299,RN314026314027,314026,314027,,78
300,RN314028314029,314028,314029,,70
301,RN314030314031,314030,314031,,47
302,RN314032314033,314032,314033,,32
303,RN314034314035,314034,314035,,41
304,RN314036314037,314036,314037,,21
305,RN314038314039,314038,314039,,35
306,RN314040314041,314040,314041,,44
307,RN314042314043,314042,314043,,74
308,RN314044314045,314044,314045,,28
309,RN314046314047,314046,314047,,16
310,RN314048314049,314048,314049,,93
311,RN314050314051,314050,314051,,14
312,RN314052314053,314052,314053,,84
313,RN314054314055,314054,314055,,89
314,RN314056314057,314056,314057,,35
315,RN314058314059,314058,314059,,44
316,RN314060314061,314060,314061,,60
317,RN314062314063,314062,314063,,76
318,RN314064314065,314064,314065,,7
319,RN314066314067,314066,314067,,14
320,RN314068314069,314068,314069,,70
321,RN314070314071,314070,314071,,63
322,RN314072314073,314072,314073,,28
323,RN314074314075,314074,314075,,88
324,RN314078314079,314078,314079,,55
325,RN314080314081,314080,314081,,56
326,RN314082314083,314082,314083,,97
327,RN314084314085,314084,314085,,27
328,RN314086314089,314086,314089,,42
329,RN314090314091,314090,314091,,84
330,RN314092314093,314092,314093,,67
331,RN314095314096,314095,314096,,38
332,RN314098314104314105,314098,314104,314105,41
333,RN314107314108314106,314107,314108,314106,25
334,RN314109314110,314109,314110,,13
335,RN314123314128,314123,314128,,28
336,RN314132314133,314132,314133,,100
337,RN314134314136,314134,314136,,23
338,RN314137314139,314137,314139,,45
339,RN314149329001,314149,329001,,21
340,RN329002329003,329002,329003,,69
341,RN329004329005,329004,329005,,8
342,RN329006329007,329006,329007,,93
343,RN329008329009,329008,329009,,20
344,RN329010329011,329010,329011,,79
345,RN329012329013,329012,329013,,49
346,RN329014329015,329014,329015,,61
347,RN329016329017,329016,329017,,21
348,RN329018329019,329018,329019,,16
349,RN329020329021,329020,329021,,2
350,RN329022329023,329022,329023,,21
351,RN329024329025,329024,329025,,24
352,RN329026329027,329026,329027,,87
353,RN329028329029,329028,329029,,21
354,RN329030329031,329030,329031,,78
355,RN329032329033,329032,329033,,54
356,RN329034329035,329034,329035,,9
357,RN329036329037,329036,329037,,61
358,RN329038329039,329038,329039,,56
359,RN329040329041,329040,329041,,73
360,RN329042329043,329042,329043,,58
361,RN329044329045,329044,329045,,85
362,RN329046329049,329046,329049,,77
363,RN329050329051,329050,329051,,58
364,RN329052329053,329052,329053,,63
365,RN329056329062,329056,329062,,18
366,RN329063329065,329063,329065,,23
367,RN329066329069,329066,329069,,86
368,RN329071329072,329071,329072,,5
369,RN329074329076,329074,329076,,7
370,RN329084351001,329084,351001,,43
371,RN351002351003,351002,351003,,65
372,RN351004351005,351004,351005,,9
373,RN351006351007,351006,351007,,100
374,RN351008351009,351008,351009,,85
375,RN351010351011,351010,351011,,3
376,RN351012351013,351012,351013,,51
377,RN351014351015,351014,351015,,7
378,RN351016351017,351016,351017,,74
379,RN351018351019,351018,351019,,76
380,RN351020351021,351020,351021,,6
381,RN351022351023,351022,351023,,88
382,RN351024351025,351024,351025,,58
383,RN351026351027,351026,351027,,19
384,RN351028351029,351028,351029,,81
385,RN351030351031,351030,351031,,65
386,RN351032351033,351032,351033,,41
387,RN351034351035,351034,351035,,54
388,RN351036351037,351036,351037,,82
389,RN351038351039,351038,351039,,66
390,RN351040351041,351040,351041,,26
391,RN351042351043,351042,351043,,41
392,RN351044351045,351044,351045,,18
393,RN351046351047,351046,351047,,34
394,RN351048351049,351048,351049,,59
395,RN351051351052,351051,351052,,94
396,RN351054351055,351054,351055,,60
397,RN351056351057,351056,351057,,22
398,RN351058351059,351058,351059,,89
399,RN351061351063,351061,351063,,2
400,RN351066351067,351066,351067,,6
401,RN351069351070,351069,351070,,51
402,RN351071351074,351071,351074,,97
403,RN351081351087,351081,351087,,42
404,RN351090351091,351090,351091,,21
405,RN351107351109,351107,351109,,93
406,RN351111351113,351111,351113,,14
407,RN351133351167,351133,351167,,7
408,RN351171351184,351171,351184,,11
409,RN113002113003,113002,113003,,52
410,RN113008113010,113008,113010,,39
411,RN113015113016,113015,113016,,27
412,RN113017113018,113017,113018,,36
413,RN113019113020,113019,113020,,34
414,RN113021113022,113021,113022,,12
415,RN113023113024,113023,113024,,80
416,RN113025113026,113025,113026,,69
417,RN113028113029,113028,113029,,1
418,RN113030113031,113030,113031,,48
419,RN113032113033,113032,113033,,2
420,RN113034113036,113034,113036,,23
421,RN113038113039,113038,113039,,92
422,RN113040113041,113040,113041,,67
423,RN113043113044,113043,113044,,82
424,RN215001215002,215001,215002,,78
425,RN215003215004,215003,215004,,91
426,RN215005215006,215005,215006,,71
427,RN215007215008,215007,215008,,75
428,RN215009215010,215009,215010,,41
429,RN215011215012,215011,215012,,49
430,RN215013215014,215013,215014,,22
431,RN215015215016,215015,215016,,75
432,RN215017215018,215017,215018,,35
433,RN215019215020215021,215019,215020,215021,52
434,RN215023215024215022,215023,215024,215022,54
435,RN215025215026,215025,215026,,24
436,RN215027215029,215027,215029,,39
437,RN215030215031,215030,215031,,88
438,RN215033215034,215033,215034,,48
439,RN215035215036,215035,215036,,37
440,RN215038215039,215038,215039,,3
441,RN215040215041,215040,215041,,35
442,RN215042215043,215042,215043,,7
443,RN215044215045,215044,215045,,44
444,RN215047215048,215047,215048,,91
445,RN215049215051,215049,215051,,29
446,RN215052215053,215052,215053,,27
447,RN215054215056,215054,215056,,57
448,RN215057215058,215057,215058,,18
449,RN215059215060,215059,215060,,66
450,RN215061215062,215061,215062,,2
451,RN215063215064,215063,215064,,68
452,RN215065215067,215065,215067,,56
453,RN215068215069,215068,215069,,83
454,RN215071215072,215071,215072,,79
455,RN215073215074,215073,215074,,64
456,RN215075215077,215075,215077,,79
457,RN215078215079,215078,215079,,47
458,RN215082215083,215082,215083,,92
459,RN215084215086,215084,215086,,100
460,RN215088215091,215088,215091,,65
461,RN215092215094,215092,215094,,37
462,RN215095215096,215095,215096,,33
463,RN215097215101,215097,215101,,28
464,RN215102215103,215102,215103,,25
465,RN215104215107,215104,215107,,25
466,RN215109215111,215109,215111,,28
467,RN215112215113,215112,215113,,36
468,RN215114215116,215114,215116,,6
469,RN215118215119,215118,215119,,100
470,RN215120215121,215120,215121,,82
471,RN215122215125,215122,215125,,54
472,RN215126215128,215126,215128,,33
473,RN215130215131,215130,215131,,82
474,RN215132215133,215132,215133,,6
475,RN215139215140,215139,215140,,85
476,RN215143215145,215143,215145,,67
477,RN215146215147,215146,215147,,53
478,RN215148215149,215148,215149,,10
479,RN215150215151,215150,215151,,65
480,RN215152215153,215152,215153,,94
481,RN215154215155,215154,215155,,54
482,RN215156215157,215156,215157,,27
483,RN215158215159,215158,215159,,15
484,RN215160215161,215160,215161,,14
485,RN215162215163,215162,215163,,76
486,RN215164215165,215164,215165,,3
487,RN215167215169,215167,215169,,92
488,RN215170215171,215170,215171,,16
489,RN215172215173,215172,215173,,56
490,RN215174215175,215174,215175,,36
491,RN215176247001,215176,247001,,60
492,RN247002247003,247002,247003,,27
493,RN247004247005,247004,247005,,27
494,RN247006247007,247006,247007,,35
495,RN247008247009,247008,247009,,65
496,RN247010247012,247010,247012,,57
497,RN247014247015,247014,247015,,37
498,RN247016247018,247016,247018,,12
499,RN247019247022,247019,247022,,83
500,RN247023247024,247023,247024,,60
501,RN247025247026,247025,247026,,34
502,RN247027247029,247027,247029,,73
503,RN247030247031,247030,247031,,57
504,RN247032247033,247032,247033,,16
505,RN247034247035,247034,247035,,62
506,RN247036247037,247036,247037,,5
507,RN247038247039,247038,247039,,15
508,RN247040247041,247040,247041,,92
509,RN247042247043,247042,247043,,56
510,RN247044247045,247044,247045,,95
511,RN247046247047,247046,247047,,65
512,RN247048247049,247048,247049,,41
513,RN247050247051,247050,247051,,99
514,RN247052247053,247052,247053,,96
515,RN247054247056,247054,247056,,95
516,RN247057247058,247057,247058,,69
517,RN247060247061,247060,247061,,51
518,RN247062247063,247062,247063,,77
519,RN247064247065,247064,247065,,58
520,RN247066247067,247066,247067,,42
521,RN247068247069,247068,247069,,53
522,RN247070247071,247070,247071,,13
523,RN247072247073,247072,247073,,50
524,RN247075247076,247075,247076,,58
525,RN247077247078,247077,247078,,20
526,RN247079247080,247079,247080,,70
527,RN247081247082,247081,247082,,16
528,RN247083247086,247083,247086,,22
529,RN247087247088,247087,247088,,14
530,RN247095247096,247095,247096,,11
531,RN247097247098,247097,247098,,11
532,RN247099247100,247099,247100,,46
533,RN247121247123,247121,247123,,44
534,RN247122247124,247122,247124,,71
535,RN247125247126,247125,247126,,89
536,RN247127247128,247127,247128,,29
537,RN247129247130,247129,247130,,1
538,RN247131247132,247131,247132,,41
539,RN247133247502,247133,247502,,71
540,RNRep003216001,Rep003,216001,,14
541,RN216002216003,216002,216003,,50
542,RN216004216005,216004,216005,,67
543,RN216006216007,216006,216007,,36
544,RN216008216009,216008,216009,,36
545,RN216010216011,216010,216011,,81
546,RN216012216013,216012,216013,,40
547,RN216014216015,216014,216015,,75
548,RN216016216017,216016,216017,,81
549,RN216018216019,216018,216019,,26
550,RN216020216021,216020,216021,,33
551,RN216022216023,216022,216023,,87
552,RN216024216025,216024,216025,,69
553,RN216026216027,216026,216027,,19
554,RN216028216029,216028,216029,,26
555,RN216030216031,216030,216031,,22
556,RN216032216033,216032,216033,,89
557,RN216034216035,216034,216035,,22
558,RN216036216037,216036,216037,,16
559,RN216038216039,216038,216039,,32
560,RN216040216041,216040,216041,,30
561,RN216042216043,216042,216043,,100
562,RN216044216045,216044,216045,,27
563,RN216046216047,216046,216047,,50
564,RN216049216050,216049,216050,,73
565,RN216051216052,216051,216052,,27
566,RN216053216054,216053,216054,,58
567,RN216055216056,216055,216056,,94
568,RN216057216058,216057,216058,,76
569,RN216059216061,216059,216061,,18
570,RN216062216063,216062,216063,,37
571,RN216064216065,216064,216065,,54
572,RN216066216067,216066,216067,,45
573,RN216068216069,216068,216069,,54
574,RN216070216071,216070,216071,,91
575,RN216072216073,216072,216073,,37
576,RN216075216076,216075,216076,,49
577,RN216077216078,216077,216078,,86
578,RN216081216083,216081,216083,,6
579,RN216084216085,216084,216085,,28
580,RN216086216087,216086,216087,,54
581,RN216088216090,216088,216090,,47
582,RN216091216092,216091,216092,,97
583,RN216094216095,216094,216095,,15
584,RN216096216097,216096,216097,,42
585,RN216098216099,216098,216099,,80
586,RN216100216101,216100,216101,,34
587,RN216102216103,216102,216103,,58
588,RN216104216105,216104,216105,,76
589,RN216106216107,216106,216107,,30
590,RN216108216109,216108,216109,,75
591,RN216110216111,216110,216111,,82
592,RN216112216113,216112,216113,,94
593,RN216114216115,216114,216115,,71
594,RN216116216117,216116,216117,,36
595,RN216122216124,216122,216124,,59
596,RN216126216128,216126,216128,,60
597,RN216129216130,216129,216130,,90
598,RN216131216132,216131,216132,,24
599,RN216133216135,216133,216135,,38
600,RN216141216146,216141,216146,,58
601,RN216149216154,216149,216154,,27
602,RN216163216164,216163,216164,,86
603,RN216165216166,216165,216166,,60
604,RN216167216168,216167,216168,,77
605,RN216170216171,216170,216171,,75
606,RN216172216173,216172,216173,,99
607,RN216501216502,216501,216502,,21
608,RN245001245002,245001,245002,,38
609,RN245003245005,245003,245005,,89
610,RN245006245007,245006,245007,,44
611,RN245008245009,245008,245009,,65
612,RN245012245013,245012,245013,,57
613,RN245014245015,245014,245015,,76
614,RN245016245018,245016,245018,,35
615,RN245019245020,245019,245020,,63
616,RN245021245023,245021,245023,,96
617,RN245024245025,245024,245025,,75
618,RN245026245027,245026,245027,,9
619,RN245029245030,245029,245030,,17
620,RN245031245032,245031,245032,,90
621,RN245033245034,245033,245034,,64
622,RN245035245036,245035,245036,,64
623,RN245037245038,245037,245038,,40
624,RN245039245040,245039,245040,,46
625,RN245042245044,245042,245044,,45
626,RN245046245047,245046,245047,,37
627,RN245048245049,245048,245049,,33
628,RN245050245051,245050,245051,,88
629,RN245052245053,245052,245053,,49
630,RN245054245055,245054,245055,,81
631,RN245056245064,245056,245064,,91
632,RN245066245068,245066,245068,,54
633,RN245074245078,245074,245078,,65
634,RN245079245080,245079,245080,,86
635,RN245081118001,245081,118001,,62
636,RN118002118003,118002,118003,,46
637,RN118004118005,118004,118005,,77
638,RN118006118007,118006,118007,,35
639,RN118008118009,118008,118009,,42
640,RN118010118011,118010,118011,,18
641,RN118012118014,118012,118014,,53
642,RN118015118016,118015,118016,,1
643,RN118017118018,118017,118018,,69
644,RN118019118020,118019,118020,,42
645,RN118021118022,118021,118022,,73
646,RN118023118024,118023,118024,,80
647,RN118025118026,118025,118026,,42
648,RN118027118033,118027,118033,,61
649,RN118034118035,118034,118035,,40
650,RN118036118039,118036,118039,,13
651,RN118040118041,118040,118041,,64
652,RN118042118043,118042,118043,,87
653,RN118044118045,118044,118045,,44
654,RN118046118047,118046,118047,,66
655,RN118049118050,118049,118050,,58
656,RN319071310001,319071,310001,,47
657,RN310002310003,310002,310003,,29
658,RN310004310005,310004,310005,,32
659,RN310006310007,310006,310007,,28
660,RN310008310009,310008,310009,,45
661,RN310010310011,310010,310011,,66
662,RN310012310014,310012,310014,,20
663,RN310015310016,310015,310016,,41
664,RN310017310018,310017,310018,,93
665,RN310019310020,310019,310020,,77
666,RN310021310022,310021,310022,,34
667,RN310023310024,310023,310024,,57
668,RN310025310026,310025,310026,,61
669,RN310027310028,310027,310028,,32
670,RN310029310030,310029,310030,,45
671,RN310031310032,310031,310032,,0
672,RN310033310034,310033,310034,,91
673,RN310035310036,310035,310036,,65
674,RN310037310038,310037,310038,,38
675,RN310039310040,310039,310040,,84
676,RN310041310042,310041,310042,,58
677,RN310043310044,310043,310044,,46
678,RN310045310046,310045,310046,,71
679,RN310047310048,310047,310048,,98
680,RN310049310050,310049,310050,,63
681,RN310051310052,310051,310052,,19
682,RN310053310054,310053,310054,,59
683,RN310055310056,310055,310056,,4
684,RN310057310058,310057,310058,,80
685,RN310059310060,310059,310060,,49
686,RN310061310062,310061,310062,,37
687,RN310063310064,310063,310064,,60
688,RN310066310067,310066,310067,,66
689,RN310068310082,310068,310082,,38
690,RN310100310105,310100,310105,,32
691,RN319001319002,319001,319002,,64
692,RN319003319004,319003,319004,,70
693,RN319005319006,319005,319006,,4
694,RN319007319008,319007,319008,,17
695,RN319009319010,319009,319010,,84
696,RN319011319012,319011,319012,,93
697,RN319013319014,319013,319014,,89
698,RN319015319016,319015,319016,,44
699,RN319017319018,319017,319018,,94
700,RN319019319020,319019,319020,,82
701,RN319021319022,319021,319022,,69
702,RN319023319024,319023,319024,,78
703,RN319025319026,319025,319026,,59
704,RN319027319028,319027,319028,,80
705,RN319029319030,319029,319030,,94
706,RN319031319032,319031,319032,,80
707,RN319033319034,319033,319034,,85
708,RN319035319036,319035,319036,,68
709,RN319037319038,319037,319038,,77
710,RN319039319040,319039,319040,,25
711,RN319041319042,319041,319042,,79
712,RN319043319044,319043,319044,,82
713,RN319045319046,319045,319046,,90
714,RN319047319048,319047,319048,,13
715,RN319049319050,319049,319050,,73
716,RN319051319052,319051,319052,,97
717,RN319053319054,319053,319054,,81
718,RN319055319056,319055,319056,,21
719,RN319057319058,319057,319058,,23
720,RN319059319060,319059,319060,,38
721,RN319061319062,319061,319062,,70
722,RN319063319064,319063,319064,,2
723,RN319065319066,319065,319066,,36
724,RN319067319068,319067,319068,,43
725,RN319069319070,319069,319070,,18
726,RN319122319072,319122,319072,,34
727,RN319073319074,319073,319074,,37
728,RN319075319076,319075,319076,,100
729,RN319077319078,319077,319078,,74
730,RN319079319080,319079,319080,,6
731,RN319081319082,319081,319082,,58
732,RN319083319084,319083,319084,,47
733,RN319085319086,319085,319086,,59
734,RN319087319088,319087,319088,,81
735,RN319089319090,319089,319090,,73
736,RN319091319092,319091,319092,,40
737,RN319093319094,319093,319094,,35
738,RN319095319096,319095,319096,,37
739,RN319097319098,319097,319098,,43
740,RN319099319100,319099,319100,,97
741,RN319101319102,319101,319102,,5
742,RN319103319104,319103,319104,,76
743,RN319105319106,319105,319106,,60
744,RN319107319108,319107,319108,,64
745,RN319109319110,319109,319110,,16
746,RN319111319112,319111,319112,,98
747,RN319113319114,319113,319114,,32
748,RN319115319116,319115,319116,,28
749,RN319117319118,319117,319118,,49
750,RN319119319120,319119,319120,,15
751,RN319121319157,319121,319157,,85
752,RN319123319124,319123,319124,,70
753,RN319125319126,319125,319126,,98
754,RN319127319128,319127,319128,,70
755,RN319129319130,319129,319130,,8
756,RN319131319132,319131,319132,,77
757,RN319133319134,319133,319134,,15
758,RN319135319136,319135,319136,,57
759,RN319137319138,319137,319138,,3
760,RN319139319140,319139,319140,,68
761,RN319141319142,319141,319142,,26
762,RN319144319145,319144,319145,,39
763,RN319146319148,319146,319148,,67
764,RN319149319150,319149,319150,,19
765,RN319151319153,319151,319153,,49
766,RN319154319156,319154,319156,,34
767,RN319174319159,319174,319159,,47
768,RN319160319161,319160,319161,,15
769,RN319162319164,319162,319164,,33
770,RN319165319166,319165,319166,,72
771,RN319167319168,319167,319168,,98
